pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuántos huesos tiene el cuerpo humano adulto?,206,213,230,256,1
¿Quién escribió La Odisea?,Homero,Sócrates,Platón,Aristóteles,1
¿Qué antiguo imperio existió en lo que hoy es México antes de la llegada de los conquistadores?,Azteca,Maya,Inca,Olmeca,1
¿Cuál es el principal ingrediente del sushi?,Pescado crudo,Arroz,Alga nori,Verduras,2
¿Qué planeta es conocido por sus anillos?,Júpiter,Saturno,Urano,Neptuno,2
¿Qué océano se encuentra entre América y Europa?,Atlántico,Pacífico,Índico,Ártico,1
¿Quién pintó el Guernica?,Salvador Dalí,Pablo Picasso,Francisco de Goya,Joan Miró,2
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?,1776,1789,1800,1812,1
¿Qué país tiene la mayor población del mundo?,India,Estados Unidos,China,Indonesia,3
¿Qué instrumento musical tiene 88 teclas?,Piano,Guitarra,Violín,Teclado electrónico,1
¿Qué ciudad es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,1
¿Qué continente tiene el desierto de Atacama?,África,Asia,América del Sur,Oceanía,3
¿Quién fue el primer presidente de los Estados Unidos?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
¿Qué evento ocurrió en 1969?,La caída del Muro de Berlín,El primer alunizaje humano,La Revolución Cubana,La independencia de India,2
¿Qué famoso naturalista propuso la teoría de la selección natural?,Charles Darwin,Galileo Galilei,Isaac Newton,Louis Pasteur,1
